x(chord_dir),y(span_dir)
-0.0045000000000000005,0.15213
-0.0045000000000000005,0.15186
-0.0045000000000000005,0.15159
-0.0045000000000000005,0.15132
-0.0045000000000000005,0.15105
-0.0045000000000000005,0.15078
-0.0045000000000000005,0.15051
-0.0045000000000000005,0.15023999999999998
-0.0045000000000000005,0.14997
-0.0045000000000000005,0.1497
-0.0045000000000000005,0.14943
-0.0045000000000000005,0.14916
-0.0045000000000000005,0.14889
-0.0045000000000000005,0.14862
-0.0045000000000000005,0.14834999999999998
-0.0045000000000000005,0.14808
-0.0045000000000000005,0.14781
-0.0045000000000000005,0.14754
-0.0045000000000000005,0.14726999999999998
-0.0045000000000000005,0.147
-0.0045000000000000005,0.14673
-0.0045000000000000005,0.14646
-0.0045000000000000005,0.14619
-0.0045000000000000005,0.14592
-0.0045000000000000005,0.14565
-0.0045000000000000005,0.14538
-0.0045000000000000005,0.14511
-0.0045000000000000005,0.14484
-0.0045000000000000005,0.14457
-0.0045000000000000005,0.14429999999999998
-0.0045000000000000005,0.14403
-0.0045000000000000005,0.14376
-0.0045000000000000005,0.14349
-0.0045000000000000005,0.14322
-0.0045000000000000005,0.14295
-0.0045000000000000005,0.14268
-0.0045000000000000005,0.14240999999999998
-0.0045000000000000005,0.14214
-0.0045000000000000005,0.14187
-0.0045000000000000005,0.1416
-0.0045000000000000005,0.14133
-0.0045000000000000005,0.14106
-0.0045000000000000005,0.14079
-0.0045000000000000005,0.14052
-0.0045000000000000005,0.14024999999999999
-0.0045000000000000005,0.13998
-0.0045000000000000005,0.13971
-0.0045000000000000005,0.13944
-0.0045000000000000005,0.13917
-0.0045000000000000005,0.1389
-0.0045000000000000005,0.13863
-0.0045000000000000005,0.13835999999999998
-0.0045000000000000005,0.13809
-0.0045000000000000005,0.13782
-0.0045000000000000005,0.13755
-0.0045000000000000005,0.13727999999999999
-0.0045000000000000005,0.13701
-0.0045000000000000005,0.13674
-0.0045000000000000005,0.13646999999999998
-0.0045000000000000005,0.1362
-0.0045000000000000005,0.13593
-0.0045000000000000005,0.13566
-0.0045000000000000005,0.13539
-0.0045000000000000005,0.13512
-0.0045000000000000005,0.13485
-0.0045000000000000005,0.13458
-0.0045000000000000005,0.13430999999999998
-0.0045000000000000005,0.13404
-0.0045000000000000005,0.13377
-0.0045000000000000005,0.1335
-0.0045000000000000005,0.13323
-0.0045000000000000005,0.13296
-0.0045000000000000005,0.13269
-0.0045000000000000005,0.13241999999999998
-0.0045000000000000005,0.13215
-0.0045000000000000005,0.13188
-0.0045000000000000005,0.13161
-0.0045000000000000005,0.13133999999999998
-0.0045000000000000005,0.13107
-0.0045000000000000005,0.1308
-0.0045000000000000005,0.13053
-0.0045000000000000005,0.13026
-0.0045000000000000005,0.12999
-0.0045000000000000005,0.12972
-0.0045000000000000005,0.12945
-0.0045000000000000005,0.12918
-0.0045000000000000005,0.12891
-0.0045000000000000005,0.12864
-0.0045000000000000005,0.12836999999999998
-0.0045000000000000005,0.1281
-0.0045000000000000005,0.12783
-0.0045000000000000005,0.12756
-0.0045000000000000005,0.12729
-0.0045000000000000005,0.12702
-0.0045000000000000005,0.12675
-0.0045000000000000005,0.12647999999999998
-0.0045000000000000005,0.12621
-0.0045000000000000005,0.12594
-0.0045000000000000005,0.12567
-0.0045000000000000005,0.12539999999999998
-0.0045000000000000005,0.12513
-0.0045000000000000005,0.12486
-0.0045000000000000005,0.12458999999999999
-0.0045000000000000005,0.12432
-0.0045000000000000005,0.12405
-0.0045000000000000005,0.12378
-0.0045000000000000005,0.12351
-0.0045000000000000005,0.12323999999999999
-0.0045000000000000005,0.12297
-0.0045000000000000005,0.12269999999999999
-0.0045000000000000005,0.12243
-0.0045000000000000005,0.12215999999999999
-0.0045000000000000005,0.12189
-0.0045000000000000005,0.12161999999999999
-0.0045000000000000005,0.12135
-0.0045000000000000005,0.12108
-0.0045000000000000005,0.12081
-0.0045000000000000005,0.12054
-0.0045000000000000005,0.12027
-0.0045000000000000005,0.12
